Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2021-05-27 20:26:15","2021-05-27 20:27:52",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-05-27 20:28:13","2021-05-27 20:30:17",Passed,Completed
"Vamos nos conhecer um pouco",Lesson,"2021-05-27 20:42:17","2021-05-27 20:42:17",,Completed
Introdução,Lesson,"2021-05-27 20:42:25","2021-05-27 20:42:25",,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-05-27 20:42:31","2021-05-27 20:42:31",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-05-27 20:42:38","2021-05-27 20:42:38",,Completed
