Title,Type,"Start time","End time",Graduation,Status
"Vamos nos conhecer um pouco",Lesson,"2020-07-30 17:17:14","2020-07-30 17:17:14",,Completed
Introdução,Lesson,"2020-07-30 17:19:31","2020-07-30 17:19:31",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2020-07-30 17:21:29","2020-07-30 17:21:43",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-07-30 17:23:46","2020-07-30 17:24:19",Passed,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-08-10 16:42:06","2020-08-10 16:46:05",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-08-10 16:46:34","2020-08-10 16:49:07",Passed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-08-10 16:49:16","2020-08-10 16:50:29",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-08-10 16:51:14","2020-08-10 16:52:57",Passed,Completed
