Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2021-06-14 21:46:44","2021-06-14 21:47:14",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-06-14 21:47:22","2021-06-14 21:47:43",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-06-14 21:48:41","2021-06-14 21:48:41",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-06-14 21:49:05","2021-06-14 21:49:05",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-06-14 21:49:18","2021-06-14 21:49:18",,Started
