Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2021-08-27 13:52:04","2021-08-27 13:56:24",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-27 13:56:29","2021-08-27 14:00:36",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-27 14:07:41","2021-08-27 14:07:41",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-27 14:12:16","2021-08-27 14:12:16",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-27 14:32:06","2021-08-27 14:32:06",,Completed
