Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2021-08-23 18:46:57","2021-08-23 18:47:34",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-25 20:07:32","2021-08-25 20:07:52",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-25 20:09:07","2021-08-25 20:09:07",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-25 20:10:38","2021-08-25 20:10:38",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-25 20:12:16","2021-08-25 20:12:16",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-08-25 20:12:28","2021-08-25 20:15:52",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-08-25 20:16:19","2021-08-25 20:16:36",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-08-25 20:17:04","2021-08-25 20:17:15",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-08-25 20:17:21","2021-08-25 20:17:28",Failed,Completed
